epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,21.0187,1.28126,9.16692,0.00488,0,0,0,0,0.83536,9.08329,0.00304,0.0024,0.0008,0.0024,0.0008,0.0944,0.0928,0.0024,0.0008
2,40.9099,0.90813,5.65601,0.00282,0,0,0,0,0.51891,6.87003,0.00188,0.00504951,0.00168317,0.00504951,0.00168317,0.0880495,0.0846832,0.00504951,0.00168317
3,59.5658,0.86996,3.71855,0.00293,0,0,0,0,0.49331,6.2011,0.00182,0.00764556,0.00254852,0.00764556,0.00254852,0.0816456,0.0765485,0.00764556,0.00254852
4,78.6595,0.85086,2.75412,0.00287,0,0,0,0,0.4532,5.69324,0.00172,0.0101881,0.00339605,0.0101881,0.00339605,0.0751882,0.0683961,0.0101881,0.00339605
5,98.2529,0.82847,2.35814,0.00271,0,0,0,0,0.6061,5.19094,0.00213,0.0126773,0.00422576,0.0126773,0.00422576,0.0686773,0.0602258,0.0126773,0.00422576
6,117.192,0.85939,2.10542,0.00273,0.00128,0.38462,0.20099,0.15516,0.68688,4.81086,0.00225,0.0151129,0.00503765,0.0151129,0.00503765,0.062113,0.0520377,0.0151129,0.00503765
7,136.342,0.85338,1.75489,0.0028,0.00214,0.64103,0.43743,0.36764,0.70178,4.6467,0.00234,0.0174952,0.00583172,0.0174952,0.00583172,0.0554952,0.0438317,0.0174952,0.00583172
8,155.653,0.88644,1.75796,0.0028,0.00333,1,0.88017,0.73697,0.67519,3.64548,0.00238,0.0198239,0.00660797,0.0198239,0.00660797,0.0488239,0.035608,0.0198239,0.00660797
9,174.82,0.81024,1.39485,0.00255,0.00333,1,0.93936,0.77244,0.78889,3.76763,0.00281,0.0220992,0.0073664,0.0220992,0.0073664,0.0420992,0.0273664,0.0220992,0.0073664
10,194.133,0.88555,1.44749,0.00289,0.00333,1,0.92591,0.74117,0.8778,3.426,0.00316,0.024321,0.00810701,0.024321,0.00810701,0.035321,0.019107,0.024321,0.00810701
11,216.302,0.91774,1.21627,0.00301,0.88678,0.402,0.86967,0.68913,0.89542,2.51944,0.00336,0.0264894,0.0088298,0.0264894,0.0088298,0.0284894,0.0108298,0.0264894,0.0088298
12,255.718,0.83631,1.4903,0.00282,1,0.11559,0.89208,0.71826,0.90469,3.12016,0.00298,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,276.96,0.84823,1.64433,0.00285,0.64677,0.75132,0.82956,0.61901,0.99766,1.59561,0.00329,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,317.624,0.81818,1.13731,0.00283,0.78389,0.74407,0.89487,0.61688,1.14604,1.573,0.00359,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
